,age,image_path,subject_id
0,0,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_0.npy,844
1,1,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_1.npy,844
2,2,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_2.npy,844
3,3,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_3.npy,844
4,4,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_4.npy,844
5,5,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_5.npy,844
6,6,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_6.npy,844
7,7,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_7.npy,844
8,8,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_8.npy,844
9,9,./data_starmen/anomaly_images/darker_circle__starman__subject_s844__tp_9.npy,844
10,0,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_0.npy,108
11,1,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_1.npy,108
12,2,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_2.npy,108
13,3,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_3.npy,108
14,4,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_4.npy,108
15,5,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_5.npy,108
16,6,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_6.npy,108
17,7,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_7.npy,108
18,8,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_8.npy,108
19,9,./data_starmen/anomaly_images/darker_circle__starman__subject_s108__tp_9.npy,108
20,0,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_0.npy,512
21,1,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_1.npy,512
22,2,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_2.npy,512
23,3,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_3.npy,512
24,4,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_4.npy,512
25,5,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_5.npy,512
26,6,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_6.npy,512
27,7,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_7.npy,512
28,8,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_8.npy,512
29,9,./data_starmen/anomaly_images/darker_circle__starman__subject_s512__tp_9.npy,512
30,0,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_0.npy,572
31,1,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_1.npy,572
32,2,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_2.npy,572
33,3,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_3.npy,572
34,4,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_4.npy,572
35,5,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_5.npy,572
36,6,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_6.npy,572
37,7,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_7.npy,572
38,8,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_8.npy,572
39,9,./data_starmen/anomaly_images/darker_circle__starman__subject_s572__tp_9.npy,572
40,0,./data_starmen/anomaly_images/darker_circle__starman__subject_s23__tp_0.npy,23
41,1,./data_starmen/anomaly_images/darker_circle__starman__subject_s23__tp_1.npy,23
42,2,./data_starmen/anomaly_images/darker_circle__starman__subject_s23__tp_2.npy,23
43,3,./data_starmen/anomaly_images/darker_circle__starman__subject_s23__tp_3.npy,23
44,4,./data_starmen/anomaly_images/darker_circle__starman__subject_s23__tp_4.npy,23
45,5,./data_starmen/anomaly_images/darker_circle__starman__subject_s23__tp_5.npy,23
