,age,image_path,subject_id
0,0,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_0.npy,534
1,1,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_1.npy,534
2,2,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_2.npy,534
3,3,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_3.npy,534
4,4,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_4.npy,534
5,5,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_5.npy,534
6,6,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_6.npy,534
7,7,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_7.npy,534
8,8,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_8.npy,534
9,9,./data_starmen/anomaly_images/darker_line__starman__subject_s534__tp_9.npy,534
10,0,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_0.npy,522
11,1,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_1.npy,522
12,2,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_2.npy,522
13,3,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_3.npy,522
14,4,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_4.npy,522
15,5,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_5.npy,522
16,6,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_6.npy,522
17,7,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_7.npy,522
18,8,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_8.npy,522
19,9,./data_starmen/anomaly_images/darker_line__starman__subject_s522__tp_9.npy,522
20,0,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_0.npy,904
21,1,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_1.npy,904
22,2,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_2.npy,904
23,3,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_3.npy,904
24,4,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_4.npy,904
25,5,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_5.npy,904
26,6,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_6.npy,904
27,7,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_7.npy,904
28,8,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_8.npy,904
29,9,./data_starmen/anomaly_images/darker_line__starman__subject_s904__tp_9.npy,904
30,0,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_0.npy,973
31,1,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_1.npy,973
32,2,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_2.npy,973
33,3,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_3.npy,973
34,4,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_4.npy,973
35,5,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_5.npy,973
36,6,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_6.npy,973
37,7,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_7.npy,973
38,8,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_8.npy,973
39,9,./data_starmen/anomaly_images/darker_line__starman__subject_s973__tp_9.npy,973
40,0,./data_starmen/anomaly_images/darker_line__starman__subject_s142__tp_0.npy,142
41,1,./data_starmen/anomaly_images/darker_line__starman__subject_s142__tp_1.npy,142
