,age,image_path,subject_id
0,0,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_0.npy,700
1,1,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_1.npy,700
2,2,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_2.npy,700
3,3,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_3.npy,700
4,4,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_4.npy,700
5,5,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_5.npy,700
6,6,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_6.npy,700
7,7,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_7.npy,700
8,8,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_8.npy,700
9,9,./data_starmen/anomaly_images/Anomaly__starman__subject_s700__tp_9.npy,700
